RamanShift (cm-1) ,Intensity
150,2009.649997
152,1899.789195
154,1846.839799
156,1799.151056
158,1726.41645
160,1679.815116
162,1615.346816
164,1564.214946
166,1532.800383
168,1485.240597
170,1431.766262
172,1395.377845
174,1359.67161
176,1314.751067
178,1289.035174
180,1252.370459
182,1224.477408
184,1184.971567
186,1140.695243
188,1132.493242
190,1113.341153
192,1083.668398
194,1057.260064
196,1045.10686
198,1019.987753
200,991.3370119
202,980.7581752
204,944.6423584
206,940.9501956
208,919.0585184
210,900.8129776
212,880.4081471
214,862.7266058
216,864.9835297
218,830.0970619
220,807.1473294
222,793.6667337
224,788.5490023
226,781.0292466
228,757.7960426
230,737.3391007
232,741.6827941
234,738.3375195
236,735.6119433
238,722.3343813
240,702.6339585
242,699.9780646
244,707.0652581
246,697.4753175
248,690.6983319
250,686.7732194
252,685.2751842
254,678.9750666
256,674.2055537
258,669.6824307
260,661.7868872
262,665.4894657
264,654.7624553
266,652.9344503
268,649.7556247
270,638.655226
272,637.4719161
274,635.0879246
276,612.0359633
278,609.9248062
280,603.6741029
282,586.4048089
284,568.1659734
286,557.4824878
288,539.6078938
290,521.3441716
292,527.2129827
294,508.09614
296,499.8315244
298,495.9715774
300,487.444257
302,470.8163966
304,451.8026418
306,445.9575317
308,444.8629287
310,422.7265256
312,419.1628257
314,412.1207651
316,405.5578691
318,412.389697
320,414.5449976
322,400.1917732
324,392.3912925
326,398.9407183
328,395.0882705
330,390.1353386
332,375.9305454
334,371.886381
336,371.3255295
338,361.8893646
340,369.8579586
342,369.7319685
344,369.7402024
346,374.0429476
348,377.8791047
350,367.4645328
352,373.517469
354,386.1737546
356,371.220744
358,379.3512228
360,374.0269987
362,375.9005141
364,372.3782329
366,377.9193994
368,390.3105611
370,400.8069972
372,405.82168
374,403.910532
376,418.9316406
378,423.7805231
380,422.8763787
382,436.1059754
384,447.7308358
386,455.8668589
388,470.4500121
390,479.7657597
392,486.2296386
394,511.3540055
396,521.977879
398,553.2784591
400,568.6651651
402,589.6472666
404,634.9162686
406,671.2302154
408,701.7463732
410,760.8118397
412,830.1114875
414,919.5802137
416,1037.350233
418,1164.516323
420,1288.168189
422,1474.034901
424,1687.552532
426,1863.800784
428,2011.69903
430,2095.920357
432,2154.777388
434,2137.755779
436,2029.453775
438,1938.530441
440,1826.077328
442,1677.975631
444,1542.540703
446,1416.814751
448,1295.230478
450,1193.45387
452,1114.527654
454,1018.916389
456,922.7053822
458,852.7253384
460,801.1296886
462,738.3253543
464,680.5950247
466,650.2053675
468,616.8499125
470,575.0455075
472,544.1808002
474,517.9336807
476,500.7720906
478,480.8893261
480,456.7870043
482,452.3718654
484,443.1733771
486,422.0234327
488,414.6075168
490,391.5693782
492,379.7245855
494,381.5424225
496,376.6003362
498,359.9368995
500,349.7290588
502,339.4158662
504,325.4570266
506,324.2515015
508,321.8083426
510,306.6110715
512,304.920063
514,289.7235497
516,285.2371334
518,290.8182188
520,291.3713756
522,284.7412151
524,281.9883876
526,271.9078966
528,264.2859536
530,270.8709877
532,270.3062663
534,265.6372795
536,266.3772341
538,259.9796427
540,250.9861954
542,253.1010111
544,253.6969069
546,252.8892874
548,250.3093174
550,244.3817018
552,249.0145242
554,258.2876919
556,249.7677439
558,241.1339989
560,248.2225948
562,251.2376625
564,248.2090351
566,240.7675037
568,239.9171288
570,240.8690935
572,245.2108422
574,247.3331546
576,247.3969264
578,249.7611034
580,248.3422636
582,241.7568645
584,236.9299364
586,244.3261409
588,242.1262563
590,251.1755196
592,252.726051
594,240.129773
596,244.4985682
598,250.7566204
600,247.1637194
602,244.9720015
604,252.4409499
606,257.2095987
608,249.110833
610,252.3660931
612,255.9491497
614,255.7795446
616,247.1618766
618,245.9081247
620,242.934558
622,245.0193938
624,242.5560897
626,246.0521621
628,251.7066867
630,259.1322609
632,259.5831357
634,252.5880358
636,248.5568978
638,238.1533836
640,256.2142533
642,250.0451935
644,262.6407392
646,244.3064253
648,250.2395014
650,250.4017365
652,252.7223103
654,256.0678106
656,247.733283
658,241.8143568
660,254.5547679
662,256.0262942
664,244.6663413
666,255.2750536
668,258.7897611
670,245.5275029
672,245.5318117
674,252.5557275
676,236.6169876
678,246.4858107
680,247.1709366
682,253.2995055
684,253.3144172
686,243.3523287
688,239.0104995
690,244.8458531
692,254.8763038
694,247.0285328
696,236.9706789
698,243.8240096
700,246.7960732
702,247.1027049
704,239.5999116
706,241.413692
708,244.3418675
710,236.6738471
712,236.1745646
714,230.99661
716,232.8523
718,240.672556
720,239.3074651
722,246.8395774
724,242.4916858
726,239.350164
728,233.8379163
730,234.0734487
732,239.059769
734,234.8058098
736,237.878221
738,239.236754
740,239.0377792
742,245.9196208
744,242.4071107
746,245.7497813
748,250.7110397
750,255.3763202
752,254.4689491
754,248.2807707
756,250.5533378
758,264.4433589
760,268.3984381
762,255.0771548
764,256.1198734
766,273.1960416
768,269.4356773
770,270.9254493
772,284.431314
774,291.0208789
776,289.2704037
778,291.7742138
780,301.542117
782,303.0285867
784,311.5987515
786,322.4566967
788,325.487864
790,344.3428415
792,344.6199401
794,354.0966024
796,373.4824626
798,382.1644429
800,406.6168015
802,424.3533514
804,421.5849547
806,448.7772622
808,453.2909406
810,467.380152
812,464.2680879
814,457.7634999
816,441.6240663
818,458.7974019
820,466.5538538
822,463.8985862
824,482.025621
826,493.7046361
828,495.0499569
830,508.8361558
832,531.9791178
834,550.9134308
836,567.6945551
838,589.7500532
840,622.2023448
842,664.8463239
844,699.1435632
846,743.8420411
848,820.3822259
850,877.0658549
852,933.2720919
854,1021.23489
856,1159.471537
858,1285.821642
860,1464.984664
862,1708.76051
864,2001.276163
866,2428.745182
868,3023.295447
870,3937.249598
872,5216.105974
874,7130.205444
876,9639.229526
878,12783.85697
880,15799.99696
882,17341.84021
884,16989.31429
886,14605.74908
888,11472.94906
890,8489.057943
892,6023.98112
894,4373.005924
896,3334.702202
898,2614.7737
900,2137.550306
902,1803.284201
904,1569.043061
906,1366.590529
908,1207.632185
910,1097.595048
912,996.4800465
914,911.3410701
916,832.734907
918,782.2710519
920,735.3894108
922,684.4114511
924,646.6929097
926,622.6947873
928,600.0899119
930,577.6533167
932,559.1863374
934,532.0362726
936,522.4840183
938,517.763713
940,492.7723658
942,474.2762159
944,468.2036582
946,464.2520151
948,462.432087
950,457.2077225
952,445.6139728
