RamanShift,Intensity
500,349.7290588
502,339.4158662
504,325.4570266
506,324.2515015
508,321.8083426
510,306.6110715
512,304.920063
514,289.7235497
516,285.2371334
518,290.8182188
520,291.3713756
522,284.7412151
524,281.9883876
526,271.9078966
528,264.2859536
530,270.8709877
532,270.3062663
534,265.6372795
536,266.3772341
538,259.9796427
540,250.9861954
542,253.1010111
544,253.6969069
546,252.8892874
548,250.3093174
550,244.3817018
552,249.0145242
554,258.2876919
556,249.7677439
558,241.1339989
560,248.2225948
562,251.2376625
564,248.2090351
566,240.7675037
568,239.9171288
570,240.8690935
572,245.2108422
574,247.3331546
576,247.3969264
578,249.7611034
580,248.3422636
582,241.7568645
584,236.9299364
586,244.3261409
588,242.1262563
590,251.1755196
592,252.726051
594,240.129773
596,244.4985682
598,250.7566204
600,247.1637194
602,244.9720015
604,252.4409499
606,257.2095987
608,249.110833
610,252.3660931
612,255.9491497
614,255.7795446
616,247.1618766
618,245.9081247
620,242.934558
622,245.0193938
624,242.5560897
626,246.0521621
628,251.7066867
630,259.1322609
632,259.5831357
634,252.5880358
636,248.5568978
638,238.1533836
640,256.2142533
642,250.0451935
644,262.6407392
646,244.3064253
648,250.2395014
650,250.4017365
652,252.7223103
654,256.0678106
656,247.733283
658,241.8143568
660,254.5547679
662,256.0262942
664,244.6663413
666,255.2750536
668,258.7897611
670,245.5275029
672,245.5318117
674,252.5557275
676,236.6169876
678,246.4858107
680,247.1709366
682,253.2995055
684,253.3144172
686,243.3523287
688,239.0104995
690,244.8458531
692,254.8763038
694,247.0285328
696,236.9706789
698,243.8240096
700,246.7960732
702,247.1027049
704,239.5999116
706,241.413692
708,244.3418675
710,236.6738471
712,236.1745646
714,230.99661
716,232.8523
718,240.672556
720,239.3074651
722,246.8395774
724,242.4916858
726,239.350164
728,233.8379163
730,234.0734487
732,239.059769
734,234.8058098
736,237.878221
738,239.236754
740,239.0377792
742,245.9196208
744,242.4071107
746,245.7497813
748,250.7110397
750,255.3763202
752,254.4689491
754,248.2807707
756,250.5533378
758,264.4433589
760,268.3984381
762,255.0771548
764,256.1198734
766,273.1960416
768,269.4356773
770,270.9254493
772,284.431314
774,291.0208789
776,289.2704037
778,291.7742138
780,301.542117
782,303.0285867
784,311.5987515
786,322.4566967
788,325.487864
790,344.3428415
792,344.6199401
794,354.0966024
796,373.4824626
798,382.1644429
800,406.6168015
802,424.3533514
804,421.5849547
806,448.7772622
808,453.2909406
810,467.380152
812,464.2680879
814,457.7634999
816,441.6240663
818,458.7974019
820,466.5538538
822,463.8985862
824,482.025621
826,493.7046361
828,495.0499569
830,508.8361558
832,531.9791178
834,550.9134308
836,567.6945551
838,589.7500532
840,622.2023448
842,664.8463239
844,699.1435632
846,743.8420411
848,820.3822259
850,877.0658549
852,933.2720919
854,1021.23489
856,1159.471537
858,1285.821642
860,1464.984664
862,1708.76051
864,2001.276163
866,2428.745182
868,3023.295447
870,3937.249598
872,5216.105974
874,7130.205444
876,9639.229526
878,12783.85697
880,15799.99696
882,17341.84021
884,16989.31429
886,14605.74908
888,11472.94906
890,8489.057943
892,6023.98112
894,4373.005924
896,3334.702202
898,2614.7737
900,2137.550306
902,1803.284201
904,1569.043061
906,1366.590529
908,1207.632185
910,1097.595048
912,996.4800465
914,911.3410701
916,832.734907
918,782.2710519
920,735.3894108
922,684.4114511
924,646.6929097
926,622.6947873
928,600.0899119
930,577.6533167
932,559.1863374
934,532.0362726
936,522.4840183
938,517.763713
940,492.7723658
942,474.2762159
944,468.2036582
946,464.2520151
948,462.432087
950,457.2077225
952,445.6139728
954,441.5665697
956,449.2781437
958,442.9590642
960,433.5999093
962,437.3073327
964,452.7599057
966,445.0084481
968,435.930719
970,456.0188587
972,469.3311306
974,467.0226974
976,458.0143733
978,469.564286
980,490.8865564
982,487.5860069
984,511.0853326
986,523.1761357
988,543.647393
990,559.0605269
992,588.9628817
994,607.6300145
996,633.1565568
998,671.0571501
1000,690.5005337
1002,731.3318607
1004,779.8368746
1006,841.7763866
1008,908.6740863
1010,988.9835819
1012,1075.780895
1014,1191.579987
1016,1312.885419
1018,1452.312466
1020,1611.741393
1022,1823.824877
1024,2114.708355
1026,2407.221485
1028,2761.014149
1030,3137.829371
1032,3424.164481
1034,3687.130274
1036,3910.279903
1038,4050.165464
1040,4205.19821
1042,4460.05835
1044,4832.300652
1046,5177.526385
1048,5489.850583
1050,5641.894214
1052,5586.932668
1054,5384.069951
1056,4947.594816
1058,4405.345453
1060,3848.320236
1062,3399.610402
1064,3132.530602
1066,2924.398498
1068,2786.607031
1070,2783.148452
1072,2789.739723
1074,2847.256457
1076,2984.544375
1078,3125.246338
1080,3352.060546
1082,3562.204197
1084,3883.305753
1086,4264.30442
1088,4661.988253
1090,5108.136301
1092,5438.975943
1094,5710.812596
1096,5768.422281
1098,5463.614707
1100,5056.087351
1102,4420.939975
1104,3832.947267
1106,3382.019342
1108,3046.960061
1110,2822.659522
1112,2648.049728
1114,2540.261916
1116,2433.065053
1118,2329.286825
1120,2251.297798
1122,2139.09383
1124,2002.198555
1126,1882.780192
1128,1761.494566
1130,1610.040328
1132,1497.303346
1134,1364.826955
1136,1254.511465
1138,1200.465331
1140,1134.092009
1142,1068.2504
1144,1039.946593
1146,1008.666586
1148,957.7164804
1150,905.6075602
1152,886.6925174
1154,876.0050363
1156,830.4215306
1158,807.5303676
1160,786.0329073
1162,772.8001581
1164,731.4115532
1166,713.9552773
1168,694.7155248
1170,656.456821
1172,636.9593872
1174,623.9894648
1176,614.6610953
1178,595.7691708
1180,592.9252833
1182,577.209216
1184,567.908314
1186,554.7612952
1188,567.3143826
1190,552.4185627
1192,555.6732007
1194,548.7162268
1196,555.0725423
1198,553.8714445
1200,563.6030403
1202,552.7281584
1204,564.0845815
1206,578.6035436
1208,567.3740699
1210,576.5896304
1212,609.6507991
1214,608.7388452
1216,608.6993774
1218,619.7332025
1220,649.4816695
1222,671.8242725
1224,674.424897
1226,702.9214737
1228,718.3268219
1230,752.004766
1232,773.225435
1234,816.5369466
1236,840.674533
1238,870.3337148
1240,893.6516898
1242,947.3473974
1244,958.5961884
1246,1017.290551
1248,1066.362108
1250,1107.224272
1252,1175.793029
1254,1226.311875
1256,1330.84319
1258,1453.95576
1260,1577.282969
1262,1731.845212
1264,1928.155087
1266,2146.26864
1268,2418.044738
1270,2700.736024
1272,2992.384957
1274,3189.714662
1276,3156.61867
1278,3044.671469
1280,2872.150333
1282,2583.8049
1284,2281.639486
1286,2058.209736
1288,1861.187836
1290,1731.194451
1292,1629.195218
1294,1541.052132
1296,1474.289319
1298,1435.450398
1300,1347.805834
1302,1350.557381
1304,1303.286742
1306,1311.628913
1308,1278.505727
1310,1266.606366
1312,1246.972901
1314,1234.923734
1316,1239.936544
1318,1233.439515
1320,1242.074748
1322,1240.155254
1324,1239.630645
1326,1238.852745
1328,1230.267938
1330,1250.675251
1332,1250.72784
1334,1239.052572
1336,1258.006487
1338,1248.204165
1340,1240.395611
1342,1246.875415
1344,1273.411016
1346,1287.328388
1348,1289.81986
1350,1311.60438
1352,1346.346616
1354,1359.242456
1356,1352.435574
1358,1366.570449
1360,1421.540486
1362,1426.516707
1364,1443.631638
1366,1490.77961
1368,1528.623005
1370,1580.585181
1372,1629.514769
1374,1659.919755
1376,1726.270922
1378,1762.510679
1380,1803.939942
1382,1870.943951
1384,1907.6284
1386,1917.058667
1388,1910.858751
1390,1932.952575
1392,1968.283006
1394,1993.152936
1396,1987.843172
1398,2074.115042
1400,2129.602746
1402,2134.665631
1404,2243.001453
1406,2305.552581
1408,2345.45965
1410,2410.692758
1412,2530.082237
1414,2595.415891
1416,2665.311749
1418,2811.685707
1420,2878.025731
1422,2991.700256
1424,3081.521349
1426,3221.164917
1428,3351.975415
1430,3608.271377
1432,3759.927385
1434,3952.307634
1436,4250.615526
1438,4657.261677
1440,5143.758694
1442,5652.586303
1444,6321.663675
1446,6982.494715
1448,7620.606548
1450,8145.219439
1452,8512.10707
1454,8582.001762
1456,8440.881766
1458,7834.4031
1460,7151.200335
1462,6491.555954
1464,5837.826663
1466,5323.711605
1468,4910.766931
1470,4670.928217
1472,4511.32741
1474,4349.824087
1476,4305.976133
1478,4377.5657
1480,4324.972007
1482,4313.221081
1484,4131.668227
1486,3925.062491
1488,3761.638029
1490,3483.355723
1492,3187.446349
1494,2985.297168
1496,2784.749316
1498,2661.758242
1500,2507.975404
1502,2364.859248
1504,2265.152483
1506,2157.910716
1508,2066.032465
1510,2023.815528
