x,y
0,0.0001928403267060176
1,0.00018495031025253744
2,0.00016947601969900334
3,0.00015461321385232187
4,0.00014036189271249315
5,0.00012672205627951708
6,0.0001136937045533936
7,0.00010127683753412286
8,8.947145522170488e-05
9,7.827755761613954e-05
10,6.769514471742673e-05
11,5.7724216525566674e-05
12,4.8364773040559476e-05
13,3.96168142624047e-05
14,3.148034019110268e-05
15,2.395535082665341e-05
16,1.704184616905678e-05
17,1.0739826218312794e-05
18,5.0492909744214495e-06
19,-2.9759562617144575e-08
20,-4.497325392803096e-06
21,-8.35340651613619e-06
22,-1.1598002932616857e-05
23,-1.423111464224499e-05
24,-1.6252741645037964e-05
25,-2.6911079440567203e-05
26,-3.311698784560565e-05
27,9.734098873007477e-06
28,2.4485581032896323e-05
29,-5.1428396854964265e-06
30,9.85513225671916e-06
31,2.2247028372102416e-05
32,5.928668655714363e-06
33,6.098553216129517e-06
34,2.7583341470850453e-05
35,4.62119085058922e-06
36,5.528361102421462e-06
37,2.6821361140933896e-05
38,2.140537190622492e-05
39,2.1862579345216293e-05
40,2.6934399177913783e-05
41,3.124229117373395e-05
42,1.8021124773822468e-06
43,-8.864118161595798e-06
44,-4.1261045363402715e-06
45,-6.829215621126665e-06
46,1.039771393412074e-05
47,2.3058370319195158e-05
48,1.4688636729798504e-05
49,-3.958973090163276e-06
50,-1.796807862993057e-05
51,1.2778423757377189e-05
52,2.8125314283354e-05
53,2.3828184649088598e-05
54,4.959229634826472e-06
55,-1.4963910591229588e-05
56,-1.910802248173023e-05
57,1.5323273231857525e-07
58,1.3681740984233315e-05
59,-1.6684849103828906e-05
60,-3.2612988408115505e-05
61,-9.986381202999094e-06
62,-9.716091608541228e-06
63,-2.1769743635281406e-05
64,7.810021769216117e-06
65,-1.2117897983349998e-05
66,-2.4637578469743503e-05
67,-4.81149847006372e-06
68,3.6582131100889e-06
69,1.1837617956881767e-05
70,-1.4614516413465192e-06
71,-7.6118370465121056e-06
72,-1.7241432508199617e-05
73,-3.0177989164147014e-05
74,-4.3861607557341045e-06
75,1.4994990470638232e-05
76,2.1990053073745944e-05
77,4.208749895370816e-05
78,2.154915028572147e-05
79,-1.6351195655754815e-05
80,7.001288204469021e-06
81,2.684431500477559e-05
82,2.0728524260865374e-05
83,2.9374228462660337e-06
84,-2.169402547512857e-05
85,-2.8491683571417388e-05
86,1.2658769766626986e-05
87,1.0650763209981909e-05
88,-1.9251126776390624e-05
89,-9.701973890910388e-06
90,-1.7073624609020393e-05
91,-1.2374471261160141e-05
92,-1.1871630336229686e-05
93,1.8307078153765184e-05
94,1.1475297513637147e-05
95,-1.2441906517340819e-05
96,-1.8862265316576512e-06
97,-8.655998519058823e-06
98,-8.322918589705392e-06
99,-8.906744257430248e-06
100,1.4307085862844257e-05
101,2.6929970949351166e-05
102,1.0132907564274374e-05
103,1.792346907793666e-05
104,1.2477479607124925e-05
105,-3.843815859048841e-06
106,4.952815188354444e-06
107,2.2490405005889187e-05
108,1.3823315687890535e-05
109,-8.218343959508494e-06
110,-9.496959732031374e-06
111,9.461080175509999e-06
112,1.547391495810565e-05
113,1.7730529113251133e-06
114,8.831923960805378e-07
115,-2.719054517156508e-07
116,1.7261476199879303e-05
117,2.0241090180174903e-05
118,-3.6122517336796968e-06
119,-2.3068759590042832e-05
120,-1.9529611594392218e-05
121,-1.7641868420423886e-05
122,-1.474779935911174e-05
123,1.4054602191246573e-05
124,1.477728815405026e-05
125,5.177324630099367e-06
126,-3.4930644183907354e-06
127,-1.9959450731082615e-05
128,-1.8676346045056727e-05
129,-9.89691363624545e-06
130,-4.079821044588802e-06
131,-1.370022981361308e-05
132,-3.5910609480433624e-05
133,-4.645433800434833e-05
134,-3.116574892534602e-05
135,-1.4668830494309434e-05
136,-2.9116382910643985e-06
137,-1.2167450365313097e-05
138,-1.3257264860489876e-05
139,9.468463500582206e-09
140,3.845792646242033e-06
141,1.5609879543816908e-05
142,-5.867369686418471e-06
143,-4.722793215975298e-06
144,-1.5649027782249278e-05
145,-1.323278541855231e-05
146,1.0703807436730225e-05
147,2.056836422932942e-05
148,3.419173339504165e-05
149,2.0765047242817875e-05
150,3.034665080828969e-05
151,2.108833794111926e-05
152,2.8196199901358676e-05
153,2.825114805743141e-05
154,-1.2501310285993237e-06
155,-5.6510160824038995e-06
156,-5.86915455301338e-06
157,-1.5072179272471658e-05
158,-1.3095774455592317e-05
159,1.5858889850774957e-05
160,1.3042920442126897e-05
161,2.6091607596450425e-05
162,2.4352902126417242e-05
163,6.2471143349843205e-06
164,8.734870847778914e-06
165,7.461395208252031e-06
166,4.354651656700748e-06
167,-5.248890906900839e-06
168,-7.1930081200266885e-06
169,1.2055901741394248e-05
170,3.370403971729186e-05
171,5.0975181035052704e-06
172,-7.177773425250686e-06
173,1.563037781999088e-05
174,-5.10875834875866e-06
175,-5.780222322546158e-06
176,5.111084025434965e-06
177,1.9069245852878667e-06
178,2.2991697021723743e-05
179,9.026497941315166e-06
180,-2.2947113276222924e-05
181,-7.4463907183303394e-06
182,-1.8570328621366427e-06
183,-3.0770129383280733e-06
184,1.2396184893585869e-05
185,2.3212916619075232e-05
186,1.8202869154478898e-05
187,1.3165468948091066e-05
188,1.759975762399477e-05
189,2.8650669225872166e-06
190,4.925911744543875e-06
191,-1.572741121965782e-05
192,-1.90150317541709e-05
193,7.522643780511309e-06
194,1.0709056836288248e-05
195,1.5028879968314625e-06
196,-5.7491119706549044e-06
197,1.729994074612393e-05
198,1.5872214738628626e-05
199,-2.7983217426357442e-05
200,-3.319396581985784e-05
201,-6.152632786400798e-06
202,-2.0469078383330598e-07
203,-2.1277898089239146e-05
204,-1.1728578767567963e-05
205,-1.9353430525732743e-05
206,-3.179173485048936e-05
207,7.03589742648324e-06
208,2.9058095987135712e-05
209,4.4736651111452596e-07
210,-4.1705070704390484e-05
211,-3.24797438586913e-05
212,-1.7235631339027356e-05
213,-1.114015581055614e-05
214,-2.4091516072653236e-05
215,-7.086652752258339e-06
216,1.0280519516405986e-05
217,-2.9601856763728353e-06
218,-9.489255550149459e-06
219,-2.622742788865466e-06
220,2.0637241856883153e-06
221,-2.8219638019111998e-05
222,-2.5536520221646408e-06
223,2.880221378113014e-05
224,9.568828237014617e-06
225,3.1672976791473015e-06
226,-9.195394211616024e-06
227,-1.0129648969679533e-05
228,-2.1392986238111863e-06
229,-1.6287614650867585e-05
230,-2.4784467769036015e-05
231,-5.273288030993074e-06
232,-2.1518475099213436e-05
233,-2.4022120718696224e-05
234,-6.895196446901695e-06
235,-2.467970013728956e-06
236,2.281651107232611e-06
237,-5.101271623822288e-06
238,-2.0895259262148855e-05
239,-2.8253911114989582e-05
240,-8.351788867727464e-07
241,-9.830712717219422e-06
242,-1.8667451149861653e-05
243,-1.5414954098195996e-05
244,-9.540485659726512e-06
245,-2.0252609107961194e-05
246,-4.0607082350031944e-06
247,6.023706497367207e-06
248,-2.5891450546939316e-05
249,-1.8683426151205033e-05
250,-9.64631423015227e-06
251,3.571555739548439e-06
252,-2.5532029859202444e-05
253,-5.059638575972357e-05
254,-1.363844331528858e-05
255,-9.163928998978263e-06
256,-7.216924731626227e-06
257,-5.434284978950715e-06
258,-3.210960247272966e-05
259,-4.5464847125207815e-05
260,-3.7771968862036844e-05
261,-7.638816266851343e-06
262,-3.0632357428042324e-06
263,-1.2116291925380506e-05
264,-2.7074576197542172e-06
265,-2.9303285057791256e-06
266,-2.263569139218681e-05
267,-1.808079070196685e-05
268,-3.048570570536878e-06
269,4.555222188141461e-06
270,2.884642921186024e-06
271,-9.477241018979125e-06
272,-1.1264625569114365e-05
273,-2.0068821179896717e-05
274,-1.1105535744379316e-05
275,-2.3034034870673755e-05
276,-2.922558419985755e-05
277,-1.7752912209240452e-05
278,-4.222041817340916e-05
279,-3.4117404495709726e-05
280,-7.59383156317801e-06
281,-1.1510451147068003e-07
282,-1.6129292218128825e-05
283,-2.4765903325130867e-05
284,-9.973757557954987e-06
285,-3.960581940049869e-06
286,-2.425006471905479e-05
287,-3.122942157814248e-05
288,-4.740069420256502e-06
289,6.1045790873612824e-06
290,-7.326899030623836e-06
291,-4.2376305457708093e-05
292,-2.144394421399969e-05
293,1.429082709255246e-06
294,3.7281617756298275e-07
295,4.29358437091824e-06
296,-3.847306893885703e-06
297,-1.4840845813596693e-05
298,-2.7695344527423624e-05
299,-2.9304671049241093e-05
300,-3.682647943005832e-05
301,-8.08065836016271e-06
302,1.5359807281145957e-07
303,1.0463950441666231e-05
304,2.7269403021187508e-05
305,-1.805190259125569e-05
306,-2.2250057009953967e-05
307,-5.7940482152685755e-06
308,-6.057827925994323e-06
309,3.16238370233837e-06
310,-2.8371644445457085e-06
311,-8.46569750081273e-06
312,-1.9536515722568773e-05
313,1.9070836867333724e-06
314,2.175415088422533e-05
315,-1.2378837557459378e-05
316,-1.904186284646997e-06
317,1.2563451671215344e-05
318,3.2344425674489053e-06
319,-3.047972986179744e-06
320,3.921241051566774e-06
321,1.2250140475844335e-05
322,-9.659069034633557e-06
323,-1.1394011321686772e-05
324,-1.783816206091368e-06
325,-7.129709245664402e-06
326,-1.324422427407835e-05
327,-1.6937952918335295e-05
328,-3.55056775045598e-05
329,-3.206277526815411e-05
330,-5.613527530346033e-05
331,-9.683999464022477e-05
332,-8.347889783655001e-05
333,-9.681384429472973e-05
334,-0.0001245780582691101
335,-0.0001183104896995313
336,-0.0001003762454208823
337,-5.156162914091752e-05
338,-1.3346496312801855e-05
339,2.629279567315163e-05
340,0.00011191402898802667
341,0.00021509522249757473
342,0.00034307144361850323
343,0.00044804001173315365
344,0.000551246267388772
345,0.0006797819040621959
346,0.0008235828633632195
347,0.0009625518212620531
348,0.0011050435813049053
349,0.001293109651146865
350,0.0014550055573892208
351,0.001599105932676125
352,0.0017444239052399326
353,0.0019101152715810367
354,0.0020866367628506284
355,0.0022284946352689305
356,0.002409106382818691
357,0.002561270817772349
358,0.0026771643223285485
359,0.002788431947297585
360,0.002885729831011574
361,0.003020562455660623
362,0.003166346595868985
363,0.0032813287060444174
364,0.0033472011624112764
365,0.003382454872414696
366,0.0034446978176328573
367,0.0034795666128664554
368,0.003486654300221031
369,0.0034885808591470294
370,0.003473374058127008
371,0.00343863566304356
372,0.0033721182823584425
373,0.0033221807484269603
374,0.003253804655860941
375,0.0031517391955871096
376,0.003021144789064213
377,0.0028731997057044045
378,0.0027307384308350585
379,0.0025990965692630347
380,0.0024417521534827805
381,0.0022795960874655574
382,0.0021199360523393926
383,0.0019354950255756065
384,0.0017811082918037027
385,0.0016644525295677892
386,0.0015169704018910268
387,0.001362478287984345
388,0.0012375170193780205
389,0.0010889584749139078
390,0.0009492949324559838
391,0.0008230075306853851
392,0.0006575822413814186
393,0.00046638438668062526
394,0.0003064489426034406
395,0.00018694166632974435
396,2.5915677024528072e-05
397,-0.00016313667931324577
398,-0.00031306636202913657
399,-0.0004571697906028613
400,-0.0006263921423841148
401,-0.0007712277415208163
402,-0.0009057612119963768
403,-0.0010584669453955128
404,-0.0012361607426426419
405,-0.0014115350358534992
406,-0.0015812073957324133
407,-0.0018120812122561156
408,-0.0020229514776085103
409,-0.002199022160703633
410,-0.0023530838877983684
411,-0.0024733521788925794
412,-0.0026362319053844854
413,-0.002823506511015178
414,-0.002967806592260723
415,-0.003081026455429438
416,-0.003202981157676997
417,-0.003325812951785398
418,-0.0034136777425262596
419,-0.00345689339567571
420,-0.003483389777133094
421,-0.0035136776722754434
422,-0.0035390490728520567
423,-0.0035500720515202477
424,-0.0035416363535563863
425,-0.003499962940619078
426,-0.0034541624035728594
427,-0.0034007867154198304
428,-0.0032933922134951096
429,-0.003190970345735941
430,-0.0030983056254548173
431,-0.0029824664527661297
432,-0.002846324685094931
433,-0.0027152608806051796
434,-0.002597950659451424
435,-0.0024262191611998697
436,-0.0022567380138556426
437,-0.0021078108287557037
438,-0.0019356603853139089
439,-0.0017679941628865104
440,-0.001601136849804737
441,-0.001442215419775534
442,-0.0013167564945209974
443,-0.0011640783688823693
444,-0.0009733019557718952
445,-0.0008270901250121176
446,-0.0007040161125420267
447,-0.00057112482188073
448,-0.00044318664619476977
449,-0.0003438106224927271
450,-0.0002635877090692069
451,-0.00017014970688258933
452,-0.00010345392019532292
453,-6.909449781294995e-05
454,-4.711676569487202e-05
455,-1.7827769522594508e-05
456,-1.976563548797424e-05
457,-4.8999767517105735e-05
458,-1.974579193505339e-05
459,2.015445719248405e-05
460,3.429656713161344e-05
461,2.6944465270772747e-05
462,1.4042464940526968e-05
463,2.3702844049540558e-05
464,3.687747924120449e-05
465,4.1574347098030174e-05
466,5.345656905780263e-05
467,0.000100693768402507
468,0.00017466486849440383
469,0.00023401700936437504
470,0.00027215791213784424
471,0.0003084721175514566
472,0.0003671039081140449
473,0.00041676785487659883
474,0.00046834968258936693
475,0.0005386400923031884
476,0.00059641777254464
477,0.0006637935268410219
478,0.0007221502290616333
479,0.0007712016722366611
480,0.0008365456583616111
481,0.0008915972070042324
482,0.0009188857063029232
483,0.0009137275551370895
484,0.0009502493466113432
485,0.001015251390392667
486,0.0010130333510591236
487,0.001003257354887454
488,0.0009931313741267543
489,0.0009671670900031227
490,0.000947387029075094
491,0.0009350906417306447
492,0.0008877678836867794
493,0.0008176483460732211
494,0.0007241938314249494
495,0.0006020838903673387
496,0.000505112091134222
497,0.0004094080615028063
498,0.00029664471414511846
499,0.0001848640392508004
500,0.00010607197887434888
501,1.549068452343788e-05
502,-0.00013054146074191475
503,-0.00026665263787160713
504,-0.000368429285098254
505,-0.0004623523364197749
506,-0.0005689447601829132
507,-0.0006747409211707231
508,-0.0007338609294759383
509,-0.0007829192959854809
510,-0.0008605015193099697
