Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Raw data #1,Dark Subtracted #1
34,533.81,18733.31,63.69,2563,4836,2273
35,533.86,18731.36,65.63,3644,5921,2277
36,533.92,18729.41,67.58,3047,5616,2569
37,533.98,18727.47,69.53,3252,6110,2858
38,534.03,18725.52,71.47,3127,6123,2996
39,534.09,18723.58,73.42,3080,6155,3075
40,534.14,18721.63,75.36,2914,6133,3219
41,534.2,18719.69,77.3,3058,6407,3349
42,534.25,18717.74,79.25,3352,7034,3682
43,534.31,18715.8,81.19,2674,6282,3608
44,534.36,18713.86,83.13,2887,6825,3938
45,534.42,18711.92,85.08,3031,6999,3968
46,534.47,18709.98,87.02,3208,7478,4270
47,534.53,18708.04,88.96,3829,8245,4416
48,534.59,18706.1,90.9,3207,7734,4527
49,534.64,18704.16,92.84,2545,7553,5008
50,534.7,18702.22,94.78,2905,7954,5049
51,534.75,18700.28,96.71,2652,7938,5286
52,534.81,18698.34,98.65,2674,7627,4953
53,534.86,18696.4,100.59,2789,7706,4917
54,534.92,18694.47,102.53,2834,7686,4852
55,534.97,18692.53,104.46,2853,7887,5034
56,535.03,18690.59,106.4,3651,8821,5170
57,535.08,18688.66,108.33,3087,8577,5490
58,535.14,18686.72,110.27,4148,9471,5323
59,535.19,18684.79,112.2,4063,8824,4761
60,535.25,18682.86,114.14,3971,9006,5035
61,535.31,18680.92,116.07,3290,8342,5052
62,535.36,18678.99,118,3514,8288,4774
63,535.42,18677.06,119.93,3277,8211,4934
64,535.47,18675.13,121.87,2828,7662,4834
65,535.53,18673.2,123.8,2934,7685,4751
66,535.58,18671.27,125.73,3260,8051,4791
67,535.64,18669.34,127.66,3148,7850,4702
68,535.69,18667.41,129.59,2759,7305,4546
69,535.75,18665.48,131.52,3061,7618,4557
70,535.8,18663.55,133.44,2725,7312,4587
71,535.86,18661.62,135.37,3230,7428,4198
72,535.91,18659.69,137.3,3123,7509,4386
73,535.97,18657.77,139.22,2473,7099,4626
74,536.03,18655.84,141.15,3532,7874,4342
75,536.08,18653.92,143.08,2687,7144,4457
76,536.14,18651.99,145,2721,6775,4054
77,536.19,18650.07,146.93,2997,7155,4158
78,536.25,18648.14,148.85,3019,7036,4017
79,536.3,18646.22,150.77,2448,6758,4310
80,536.36,18644.3,152.7,2463,6431,3968
81,536.41,18642.37,154.62,2686,6782,4096
82,536.47,18640.45,156.54,3179,7249,4070
83,536.52,18638.53,158.46,4131,8112,3981
84,536.58,18636.61,160.38,3164,7091,3927
85,536.63,18634.69,162.3,3239,7106,3867
86,536.69,18632.77,164.22,3387,7477,4090
87,536.74,18630.85,166.14,3257,6987,3730
88,536.8,18628.93,168.06,3058,7020,3962
89,536.85,18627.02,169.98,7097,11057,3960
90,536.91,18625.1,171.89,3142,7182,4040
91,536.97,18623.18,173.81,2892,6922,4030
92,537.02,18621.27,175.73,3642,7352,3710
93,537.08,18619.35,177.64,3157,7192,4035
94,537.13,18617.43,179.56,2700,6554,3854
95,537.19,18615.52,181.47,2815,6611,3796
96,537.24,18613.61,183.39,3320,7112,3792
97,537.3,18611.69,185.3,3057,6931,3874
98,537.35,18609.78,187.21,2420,6378,3958
