Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Raw data #1,Dark Subtracted #1
34,533.81,18733.31,63.69,2434,3688,1254
35,533.86,18731.36,65.63,3603,4905,1302
36,533.92,18729.41,67.58,3116,4576,1460
37,533.98,18727.47,69.53,3289,5057,1768
38,534.03,18725.52,71.47,3055,5083,2028
39,534.09,18723.58,73.42,3061,5274,2213
40,534.14,18721.63,75.36,2878,5434,2556
41,534.2,18719.69,77.3,3139,5744,2605
42,534.25,18717.74,79.25,3335,6015,2680
43,534.31,18715.8,81.19,2623,5479,2856
44,534.36,18713.86,83.13,2767,6053,3286
45,534.42,18711.92,85.08,3044,6413,3369
46,534.47,18709.98,87.02,3346,7086,3740
47,534.53,18708.04,88.96,3782,7791,4009
48,534.59,18706.1,90.9,3362,7308,3946
49,534.64,18704.16,92.84,2615,7253,4638
50,534.7,18702.22,94.78,3043,7718,4675
51,534.75,18700.28,96.71,2551,7081,4530
52,534.81,18698.34,98.65,2575,6693,4118
53,534.86,18696.4,100.59,2776,6753,3977
54,534.92,18694.47,102.53,2755,6875,4120
55,534.97,18692.53,104.46,2860,7127,4267
56,535.03,18690.59,106.4,3621,8220,4599
57,535.08,18688.66,108.33,3216,8025,4809
58,535.14,18686.72,110.27,4065,8703,4638
59,535.19,18684.79,112.2,3951,8154,4203
60,535.25,18682.86,114.14,3813,7588,3775
61,535.31,18680.92,116.07,3154,7093,3939
62,535.36,18678.99,118,3426,7576,4150
63,535.42,18677.06,119.93,3457,7378,3921
64,535.47,18675.13,121.87,2774,6513,3739
65,535.53,18673.2,123.8,2905,6723,3818
66,535.58,18671.27,125.73,3235,6833,3598
67,535.64,18669.34,127.66,3099,6571,3472
68,535.69,18667.41,129.59,2871,5899,3028
69,535.75,18665.48,131.52,3179,6170,2991
70,535.8,18663.55,133.44,2787,5896,3109
71,535.86,18661.62,135.37,3037,5948,2911
72,535.91,18659.69,137.3,3144,5974,2830
73,535.97,18657.77,139.22,2464,5419,2955
74,536.03,18655.84,141.15,3621,6446,2825
75,536.08,18653.92,143.08,2714,5563,2849
76,536.14,18651.99,145,2725,5036,2311
77,536.19,18650.07,146.93,2979,5304,2325
78,536.25,18648.14,148.85,3105,5281,2176
79,536.3,18646.22,150.77,2482,4806,2324
80,536.36,18644.3,152.7,2504,4884,2380
81,536.41,18642.37,154.62,2640,5023,2383
82,536.47,18640.45,156.54,3174,5700,2526
83,536.52,18638.53,158.46,3920,6278,2358
84,536.58,18636.61,160.38,3239,5116,1877
85,536.63,18634.69,162.3,3242,5410,2168
86,536.69,18632.77,164.22,3442,5434,1992
87,536.74,18630.85,166.14,3189,5114,1925
88,536.8,18628.93,168.06,3095,5033,1938
89,536.85,18627.02,169.98,7052,9039,1987
90,536.91,18625.1,171.89,3234,5269,2035
91,536.97,18623.18,173.81,2916,4905,1989
92,537.02,18621.27,175.73,3718,5498,1780
93,537.08,18619.35,177.64,3287,4984,1697
94,537.13,18617.43,179.56,2758,4520,1762
95,537.19,18615.52,181.47,2888,4600,1712
96,537.24,18613.61,183.39,3281,4881,1600
97,537.3,18611.69,185.3,3063,4834,1771
98,537.35,18609.78,187.21,2468,4098,1630
99,537.41,18607.87,189.13,2689,4457,1768
100,537.46,18605.96,191.04,3160,4908,1748
101,537.52,18604.04,192.95,3370,5097,1727
102,537.57,18602.13,194.86,3283,4829,1546
103,537.63,18600.22,196.77,2795,4381,1586
104,537.68,18598.31,198.68,2884,4523,1639
105,537.74,18596.4,200.59,2647,4314,1667
106,537.79,18594.49,202.5,3527,5296,1769
107,537.85,18592.59,204.41,2763,4417,1654
108,537.9,18590.68,206.31,3306,5059,1753
109,537.96,18588.77,208.22,3338,4811,1473
110,538.01,18586.87,210.13,3050,4607,1557
111,538.07,18584.96,212.03,3336,4863,1527
112,538.12,18583.05,213.94,3038,4710,1672
113,538.18,18581.15,215.84,2925,4496,1571
114,538.24,18579.24,217.75,2918,4374,1456
115,538.29,18577.34,219.65,3391,4967,1576
116,538.35,18575.44,221.56,3035,4717,1682
117,538.4,18573.53,223.46,2958,4519,1561
118,538.46,18571.63,225.36,3237,4806,1569
119,538.51,18569.73,227.26,2943,4497,1554
120,538.57,18567.83,229.16,3097,4644,1547
121,538.62,18565.93,231.06,2895,4487,1592
122,538.68,18564.03,232.96,3091,4789,1698
123,538.73,18562.13,234.86,2417,4054,1637
124,538.79,18560.23,236.76,3443,4962,1519
125,538.84,18558.33,238.66,3729,5445,1716
126,538.9,18556.43,240.56,2862,4440,1578
127,538.95,18554.54,242.46,2943,4542,1599
128,539.01,18552.64,244.35,3066,4792,1726
129,539.06,18550.74,246.25,3745,5595,1850
130,539.12,18548.85,248.15,3260,4958,1698
131,539.17,18546.95,250.04,3867,5540,1673
132,539.23,18545.06,251.94,3716,5326,1610
133,539.28,18543.16,253.83,3415,5171,1756
134,539.34,18541.27,255.72,3381,4932,1551
135,539.39,18539.37,257.62,2875,4556,1681
136,539.45,18537.48,259.51,2980,4739,1759
137,539.5,18535.59,261.4,3291,5042,1751
138,539.56,18533.7,263.29,3015,4662,1647
139,539.61,18531.81,265.18,3381,5075,1694
140,539.67,18529.92,267.08,3494,5198,1704
141,539.72,18528.03,268.97,2278,4093,1815
142,539.78,18526.14,270.85,3173,4905,1732
143,539.83,18524.25,272.74,2696,4634,1938
144,539.89,18522.36,274.63,3105,4919,1814
145,539.94,18520.47,276.52,3397,5263,1866
146,540,18518.59,278.41,3067,4930,1863
147,540.05,18516.7,280.29,3390,5342,1952
148,540.11,18514.81,282.18,3305,5139,1834
149,540.16,18512.93,284.07,3423,5072,1649
150,540.22,18511.04,285.95,3046,4904,1858
151,540.27,18509.16,287.84,3416,5246,1830
152,540.33,18507.27,289.72,2991,4913,1922
153,540.38,18505.39,291.6,2698,4572,1874
154,540.44,18503.51,293.49,2943,4800,1857
155,540.49,18501.62,295.37,3009,4894,1885
156,540.55,18499.74,297.25,3142,5194,2052
157,540.6,18497.86,299.13,2758,4647,1889
158,540.66,18495.98,301.01,2651,4460,1809
159,540.71,18494.1,302.89,3016,4759,1743
160,540.77,18492.22,304.77,2942,4830,1888
161,540.82,18490.34,306.65,3187,4998,1811
162,540.88,18488.46,308.53,2619,4393,1774
