RamanShift,Processed
63.69,1254
65.63,1302
67.58,1460
69.53,1768
71.47,2028
73.42,2213
75.36,2556
77.3,2605
79.25,2680
81.19,2856
83.13,3286
85.08,3369
87.02,3740
88.96,4009
90.9,3946
92.84,4638
94.78,4675
96.71,4530
98.65,4118
100.59,3977
102.53,4120
104.46,4267
106.4,4599
108.33,4809
110.27,4638
112.2,4203
114.14,3775
116.07,3939
118,4150
119.93,3921
121.87,3739
123.8,3818
125.73,3598
127.66,3472
129.59,3028
131.52,2991
133.44,3109
135.37,2911
137.3,2830
139.22,2955
141.15,2825
143.08,2849
145,2311
146.93,2325
148.85,2176
150.77,2324
152.7,2380
154.62,2383
156.54,2526
158.46,2358
160.38,1877
162.3,2168
164.22,1992
166.14,1925
168.06,1938
169.98,1987
171.89,2035
173.81,1989
175.73,1780
177.64,1697
179.56,1762
181.47,1712
183.39,1600
185.3,1771
187.21,1630
189.13,1768
191.04,1748
192.95,1727
194.86,1546
196.77,1586
198.68,1639
200.59,1667
202.5,1769
204.41,1654
206.31,1753
208.22,1473
210.13,1557
212.03,1527
213.94,1672
215.84,1571
217.75,1456
219.65,1576
221.56,1682
223.46,1561
225.36,1569
227.26,1554
229.16,1547
231.06,1592
232.96,1698
234.86,1637
236.76,1519
238.66,1716
240.56,1578
242.46,1599
244.35,1726
246.25,1850
248.15,1698
250.04,1673
251.94,1610
253.83,1756
255.72,1551
257.62,1681
259.51,1759
261.4,1751
263.29,1647
265.18,1694
267.08,1704
268.97,1815
270.85,1732
272.74,1938
274.63,1814
276.52,1866
278.41,1863
280.29,1952
282.18,1834
284.07,1649
285.95,1858
287.84,1830
289.72,1922
291.6,1874
293.49,1857
295.37,1885
297.25,2052
299.13,1889
301.01,1809
302.89,1743
304.77,1888
306.65,1811
308.53,1774
310.41,1837
312.29,1841
314.16,1934
316.04,1861
317.92,1942
319.79,1868
321.67,1915
323.54,1958
325.42,2085
327.29,1913
329.16,1895
331.04,2024
332.91,1972
334.78,1774
336.65,1885
338.52,1823
340.39,1958
342.26,1900
344.13,1826
346,1849
347.86,1997
349.73,2032
351.6,1954
353.46,2005
355.33,2035
357.19,2057
359.06,2021
360.92,1993
362.79,2107
364.65,2303
366.51,2261
368.37,2109
370.23,2120
372.1,2200
373.96,2144
375.82,2019
377.67,2176
379.53,2393
381.39,2279
383.25,2266
385.11,2353
386.96,2444
388.82,2438
390.67,2329
392.53,2330
394.38,2256
396.24,2373
398.09,2237
399.94,2215
401.8,2276
403.65,2309
405.5,2270
407.35,2290
409.2,2417
411.05,2237
412.9,2285
414.75,2209
416.6,2261
418.44,2407
420.29,2421
422.14,2102
423.98,2339
425.83,2375
427.68,2331
429.52,2315
431.36,2427
433.21,2599
435.05,2341
436.89,2287
438.73,2329
440.58,2386
442.42,2238
444.26,2460
446.1,2231
447.94,2586
449.78,2224
451.61,2242
453.45,2376
455.29,2256
457.13,2367
458.96,2247
460.8,2354
462.63,2327
464.47,2279
466.3,2234
468.13,2265
469.97,2307
471.8,2058
473.63,2162
475.46,2203
477.29,2343
479.12,2101
480.95,2182
482.78,2421
484.61,2173
486.44,2151
488.27,2323
490.1,2142
491.92,2311
493.75,2247
495.58,2171
497.4,2130
499.23,2064
501.05,1930
502.87,1908
504.7,1695
506.52,1792
508.34,1693
510.16,1570
511.98,1679
513.81,1561
515.63,1496
517.44,1500
519.26,1328
521.08,1417
522.9,1406
524.72,1403
526.53,1369
528.35,1378
530.17,1244
531.98,1339
533.8,1327
535.61,1195
537.43,1116
539.24,1191
541.05,1204
542.86,1305
544.68,1133
546.49,1228
548.3,1186
550.11,1106
551.92,1207
553.73,1270
555.54,1130
557.34,1263
559.15,998
560.96,1140
562.77,1129
564.57,1322
566.38,1037
568.18,1151
569.99,1260
571.79,1183
573.6,1223
575.4,1212
577.2,1133
579,1300
580.8,1273
582.61,1244
584.41,1086
586.21,1156
588.01,1114
589.8,1268
591.6,1290
593.4,1293
595.2,1494
597,1406
598.79,1511
600.59,1463
602.38,1371
604.18,1542
605.97,1627
607.77,1477
609.56,1584
611.35,1652
613.15,1580
614.94,1571
616.73,1458
618.52,1414
620.31,1446
622.1,1585
623.89,1515
625.68,1410
627.47,1273
629.25,1311
631.04,1141
632.83,1087
634.61,1199
636.4,1219
638.18,1153
639.97,1135
641.75,1230
643.54,1095
645.32,1268
647.1,972
648.88,1146
650.67,1104
652.45,1243
654.23,1166
656.01,1106
657.79,1245
659.57,1150
661.35,1200
663.12,1082
664.9,1055
666.68,1131
668.46,1117
670.23,1028
672.01,1078
673.78,1084
675.56,1118
677.33,1128
679.1,938
680.88,1180
682.65,1117
684.42,1160
686.19,1012
687.96,945
689.73,1131
691.5,1063
693.27,1021
695.04,1148
696.81,1152
698.58,1081
700.35,1170
702.11,1085
703.88,1130
705.65,1042
707.41,1057
709.18,947
710.94,1060
712.7,1020
714.47,1338
716.23,1232
717.99,1158
719.76,1147
721.52,1055
723.28,1102
725.04,1090
726.8,1070
728.56,1046
730.32,1216
732.07,1232
733.83,1052
735.59,990
737.35,1011
739.1,1055
740.86,1101
742.61,1059
744.37,944
746.12,1218
747.88,1159
749.63,1046
751.38,1162
753.14,965
754.89,996
756.64,1157
758.39,1302
760.14,1174
761.89,1180
763.64,1076
765.39,1026
767.14,1101
768.89,1076
770.63,1265
772.38,1208
774.13,1213
775.87,1491
777.62,1380
779.36,1407
781.11,1254
782.85,1419
784.59,1234
786.34,1261
788.08,1269
789.82,1440
791.56,1412
793.3,1302
795.04,1407
796.78,1477
798.52,1548
800.26,1332
802,1300
803.74,1427
805.47,1323
807.21,1376
808.95,1494
810.68,1360
812.42,1385
814.15,1504
815.89,1386
817.62,1316
819.36,1486
821.09,1357
822.82,1482
824.55,1358
826.28,1353
828.02,1477
829.75,1429
831.48,1423
833.21,1346
834.93,1304
836.66,1239
838.39,1321
840.12,1395
841.84,1445
843.57,1309
845.3,1398
847.02,1144
848.75,1327
850.47,1351
852.2,1325
853.92,1125
855.64,1234
857.37,1230
859.09,1408
860.81,1402
862.53,1269
864.25,1301
865.97,1431
867.69,1262
869.41,1378
871.13,1272
872.85,1081
874.56,1206
876.28,1284
878,1195
879.71,1110
881.43,1193
883.14,1255
884.86,1208
886.57,1146
888.29,1366
890,1211
891.71,1282
893.42,1233
895.14,1146
896.85,1274
898.56,1143
900.27,1352
901.98,1260
903.69,1220
905.39,1318
907.1,1160
908.81,1179
910.52,1202
912.22,1245
913.93,1270
915.64,1185
917.34,1244
919.05,1114
920.75,1312
922.45,1131
924.16,1253
925.86,1114
927.56,1456
929.27,1247
930.97,1118
932.67,1230
934.37,1224
936.07,1341
937.77,1320
939.47,1219
941.16,1249
942.86,1307
944.56,1232
946.26,1281
947.95,1221
949.65,1299
951.34,1272
953.04,1243
954.73,1262
956.43,1247
958.12,1356
959.81,1259
961.51,1397
963.2,1317
964.89,1056
966.58,1342
968.27,1276
969.96,1414
971.65,1303
973.34,1343
975.03,1288
976.72,1450
978.41,1192
980.09,1442
981.78,1279
983.47,1307
985.15,1292
986.84,1265
