Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Raw data #1,Dark Subtracted #1
34,533.81,18733.31,63.69,2611,7046,4435
35,533.86,18731.36,65.63,3609,8501,4892
36,533.92,18729.41,67.58,3053,8468,5415
37,533.98,18727.47,69.53,3360,9358,5998
38,534.03,18725.52,71.47,3076,9528,6452
39,534.09,18723.58,73.42,3045,10354,7309
40,534.14,18721.63,75.36,2995,10709,7714
41,534.2,18719.69,77.3,3079,11188,8109
42,534.25,18717.74,79.25,3344,12356,9012
43,534.31,18715.8,81.19,2613,12299,9686
44,534.36,18713.86,83.13,2813,13003,10190
45,534.42,18711.92,85.08,3019,14014,10995
46,534.47,18709.98,87.02,3333,14788,11455
47,534.53,18708.04,88.96,3738,16151,12413
48,534.59,18706.1,90.9,3262,16458,13196
49,534.64,18704.16,92.84,2641,16678,14037
50,534.7,18702.22,94.78,2958,17465,14507
51,534.75,18700.28,96.71,2691,17710,15019
52,534.81,18698.34,98.65,2558,17945,15387
53,534.86,18696.4,100.59,2801,18484,15683
54,534.92,18694.47,102.53,2720,19137,16417
55,534.97,18692.53,104.46,2929,19965,17036
56,535.03,18690.59,106.4,3605,21419,17814
57,535.08,18688.66,108.33,3111,21361,18250
58,535.14,18686.72,110.27,4014,21947,17933
59,535.19,18684.79,112.2,3929,22171,18242
60,535.25,18682.86,114.14,3931,21761,17830
61,535.31,18680.92,116.07,3260,21121,17861
62,535.36,18678.99,118,3450,21545,18095
63,535.42,18677.06,119.93,3363,21533,18170
64,535.47,18675.13,121.87,2811,21120,18309
65,535.53,18673.2,123.8,2939,21119,18180
66,535.58,18671.27,125.73,3432,21444,18012
67,535.64,18669.34,127.66,3140,21030,17890
68,535.69,18667.41,129.59,2659,20654,17995
69,535.75,18665.48,131.52,3235,21454,18219
70,535.8,18663.55,133.44,2733,20803,18070
71,535.86,18661.62,135.37,3051,21086,18035
72,535.91,18659.69,137.3,3174,21124,17950
73,535.97,18657.77,139.22,2523,20887,18364
74,536.03,18655.84,141.15,3479,21860,18381
75,536.08,18653.92,143.08,2757,21168,18411
76,536.14,18651.99,145,2806,20517,17711
77,536.19,18650.07,146.93,3028,20818,17790
78,536.25,18648.14,148.85,3081,20703,17622
79,536.3,18646.22,150.77,2487,20544,18057
80,536.36,18644.3,152.7,2485,20218,17733
81,536.41,18642.37,154.62,2688,20564,17876
82,536.47,18640.45,156.54,3192,21193,18001
83,536.52,18638.53,158.46,4017,22263,18246
84,536.58,18636.61,160.38,3158,21488,18330
85,536.63,18634.69,162.3,3338,21229,17891
86,536.69,18632.77,164.22,3484,21342,17858
87,536.74,18630.85,166.14,3144,20912,17768
88,536.8,18628.93,168.06,3124,21155,18031
89,536.85,18627.02,169.98,7199,25445,18246
90,536.91,18625.1,171.89,3183,21550,18367
91,536.97,18623.18,173.81,2948,21516,18568
92,537.02,18621.27,175.73,3559,21802,18243
93,537.08,18619.35,177.64,3163,20753,17590
94,537.13,18617.43,179.56,2841,20891,18050
95,537.19,18615.52,181.47,2910,21022,18112
